@relation mainnew-weka.filters.unsupervised.attribute.Remove-R1_clustered

@attribute Instance_number numeric
@attribute 769.948669 numeric
@attribute 2982.984131 numeric
@attribute Cluster {cluster0,cluster1}

@data
349,5068.93457,3553.276855,cluster1
350,5410.00293,3847.154053,cluster1
351,5137.657715,3077.351807,cluster1
352,4993.849121,3542.502686,cluster1
353,8556.823242,8096.670898,cluster0
354,8185.211914,7679.075684,cluster0
355,8244.601562,7187.174805,cluster0
356,8290.416992,6753.232422,cluster0
357,7503.075684,6940.481445,cluster0
358,7614.644043,6866.919434,cluster0
359,7535.315918,6792.242676,cluster0
360,7699.0625,6947.168945,cluster0
361,7343.570801,7134.789551,cluster0
362,7335.086914,7126.987793,cluster0
363,7464.472168,6721.652344,cluster0
364,7248.546875,7044.508789,cluster0
365,7107.708008,6799.301758,cluster0
366,7221.397461,7016.644531,cluster0
367,7161.15918,7261.47998,cluster0
368,7163.704102,6958.686523,cluster0
369,7529.80127,7319.438477,cluster0
370,7134.85791,7096.150879,cluster0
371,7621.007324,6574.156738,cluster0
372,7090.31543,6885.124023,cluster0
373,7073.770996,7056.397461,cluster0
374,7626.946289,9199.361328,cluster0
375,7192.975098,7157.824219,cluster0
376,7674.882324,6620.96875,cluster0
377,7041.106445,7354.361816,cluster0
378,8354.897461,6041.388184,cluster0
379,7993.467285,7213.181641,cluster0
380,7054.256836,6848.714355,cluster0
381,7046.621094,6841.655762,cluster0
382,7013.532227,7121.414551,cluster0
383,7220.124512,6479.045898,cluster0
384,8028.676758,7245.132812,cluster0
385,7659.186523,7446.128906,cluster0
386,7006.745117,6966.488281,cluster0
387,7184.915039,6444.122559,cluster0
388,7914.987305,7265.938477,cluster0
389,7712.637207,7498.142578,cluster0
390,6953.293945,6928.592773,cluster0
391,6930.38623,7042.651367,cluster0
392,6741.187012,6674.46875,cluster0
393,8146.184082,7283.400391,cluster0
394,7757.179688,7541.61084,cluster0
395,6932.083496,6724.253418,cluster0
396,6928.689453,6726.854004,cluster0
397,6882.874512,6997.325195,cluster0
398,7375.387207,6357.928223,cluster0
399,7860.263672,6347.896973,cluster0
400,6890.93457,6691.930664,cluster0
401,7864.505859,6337.123047,cluster0
402,7820.387695,7316.46582,cluster0
403,7607.007812,7579.87793,cluster0
404,6870.147949,6662.580078,cluster0
405,7313.875977,6302.942383,cluster0
406,6799.304199,7537.523926,cluster0
407,7040.682129,6302.942383,cluster0
408,7321.936035,6310.001465,cluster0
409,6833.241211,6837.94043,cluster0
410,7905.654785,6344.182129,cluster0
411,7015.65332,6652.92041,cluster0
412,6843.422363,6657.75,cluster0
413,7913.714844,6337.123047,cluster0
414,8127.094727,7005.870117,cluster0
415,6841.30127,6635.458496,cluster0
416,6781.487305,6885.124023,cluster0
417,6779.366211,7098.751465,cluster0
418,7063.165527,6705.305176,cluster0
419,6969.414062,6366.473633,cluster0
420,6764.942871,6614.28125,cluster0
421,7900.988281,7687.992188,cluster0
422,8208.967773,7027.418457,cluster0
423,7089.466797,6715.336426,cluster0
424,6750.519531,6608.708496,cluster0
425,7100.496094,6719.794922,cluster0
426,8213.209961,7047.480957,cluster0
427,6733.975098,7069.772461,cluster0
428,6769.185059,6561.15332,cluster0
429,6694.523438,7617.402344,cluster0
430,7479.319336,7445.385742,cluster0
431,6708.946777,7062.713867,cluster0
432,7130.615723,6679.29834,cluster0
433,7458.108887,7443.899414,cluster0
434,6917.660156,6182.196289,cluster0
435,7462.351074,7427.552246,cluster0
436,8273.873047,7054.540039,cluster0
437,7449.624512,7438.32666,cluster0
438,6754.761719,7018.873535,cluster0
439,6898.570312,6427.775391,cluster0
440,6680.94873,7089.091797,cluster0
441,7178.127441,6740.229004,cluster0
442,7155.644043,6161.762695,cluster0
443,8298.477539,7050.824707,cluster0
444,7191.27832,6737.999512,cluster0
445,6655.495605,7046.737793,cluster0
446,6733.975098,6997.325195,cluster0
447,8358.291016,5522.737305,cluster1
448,7397.446289,7742.978027,cluster0
449,7486.955566,6149.130859,cluster0
450,6636.830078,6563.382324,cluster0
451,6677.979004,6711.25,cluster0
452,7209.095215,6775.152344,cluster0
453,6866.330078,6229.380371,cluster0
454,6638.951172,7124.015625,cluster0
455,6862.087891,6260.216797,cluster0
456,6624.952148,7069.772461,cluster0
457,6696.644531,6986.550781,cluster0
458,6862.087891,6237.553711,cluster0
459,6672.040039,7004.383789,cluster0
460,6665.676758,6723.881836,cluster0
461,6632.164062,7134.789551,cluster0
462,6597.378418,7030.019531,cluster0
463,6591.015137,6807.103516,cluster0
464,8031.222168,7820.255371,cluster0
465,6568.531738,6539.604492,cluster0
466,6585.924805,7115.098633,cluster0
467,6607.55957,6775.895508,cluster0
468,8358.291016,5427.626465,cluster1
469,7271.878906,6665.552246,cluster0
470,6599.075195,7186.803223,cluster0
471,6007.296387,242.978149,cluster1
472,5765.494629,89.537819,cluster1
473,5638.22998,299.078613,cluster1
474,6490.052246,532.397095,cluster1
475,5510.96582,767.20166,cluster1
476,6926.144531,838.534729,cluster1
477,5529.631348,1312.602173,cluster1
478,5583.930664,1602.392578,cluster1
479,7433.504395,1441.893311,cluster1
480,5524.964844,1600.163452,cluster1
481,5681.075684,1607.222412,cluster1
482,5681.075684,1623.56958,cluster1
483,5701.862305,1607.965576,cluster1
484,5693.37793,1628.770996,cluster1
485,5732.405762,1632.486206,cluster1
486,5738.344727,1641.402832,cluster1
487,5402.791504,1592.36145,cluster1
488,5777.796875,1610.937744,cluster1
489,5736.647949,1659.607666,cluster1
490,5599.202637,1816.391724,cluster1
491,5812.158203,1604.993286,cluster1
492,5726.04248,1698.989502,cluster1
493,5396.428223,1653.663208,cluster1
494,5722.224609,1743.944092,cluster1
495,5835.914062,1672.982666,cluster1
496,5280.617676,1591.618408,cluster1
497,5726.04248,1797.81543,cluster1
498,5278.920898,1534.40332,cluster1
499,5274.678711,1510.997192,cluster1
500,5289.526367,1766.607178,cluster1
501,5847.367676,1770.69397,cluster1
502,5270.436523,1487.591064,cluster1
503,5266.618652,1469.38623,cluster1
504,5270.436523,1462.327271,cluster1
505,5327.28125,1792.985596,cluster1
506,5261.527832,1814.90564,cluster1
507,5267.042969,1814.162598,cluster1
508,5286.980957,1440.778687,cluster1
